ANNO;TRIMESTRE;ID_EMPRESA;DESC_EMPRESA;ID_MUNICIPIO;DESC_MUNICIPIO;COORD_GEO_LATITUD_WGS84;COORD_GEO_LONGITUD_WGS84;DIRECCION;INDICADOR_TASA_DATO_MEDIA_HTTP
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;66001;PEREIRA;4º48’17.928”  N; 75º43’59.088” O;Mz 18 Cs26 Bario Las Mercedes Cuba Pereira;939,2
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;47001;SANTA MARTA;11º11’10.68”  N; 74º12’54.72” O;IE.Calle 6 # 12-10 Barrio Gaira Comuna 7;939,18
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;76001;CALI;3º26’42”  N; 76º31’10.92” O;CARRERA 15 # 22A - 45;938,95
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;76001;CALI;3º25’55.56”  N; 76º28’30.18” O;CALLE 82 # 26B-39;938,94
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;76834;TULUÁ;4º5’0.924”  N; 76º11’50.892” O;Calle 28 # 25-61;938,55
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;76001;CALI;3º29’44.016”  N; 76º29’37.32” O;CALLE 73 # 3BN - 88;938,35
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;8001;BARRANQUILLA;10º59’31.2”  N; 74º47’52.08” O;CALLE 64 # 47 - 44 EDIFICIO BOSTON REAL;937,87
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;11001;BOGOTÁ, D.C.;4º40’38.532”  N; 74º8’26.844” O;calle 22 A  # 100- 38;937,74
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;54418;LOURDES;7º55’43.284”  N; 72º48’58.284” O;La Garza - Cerro Zumbador - Finca Egipto_ubicacion-1;936,22
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;47001;SANTA MARTA;11º14’45.96”  N; 74º12’16.92” O;EDIFICIO PETECUI CR 11 #10-36;935,6
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;11001;BOGOTÁ, D.C.;4º40’27.912”  N; 74º3’3.996” O;Calle 91 # 13-54;935,59
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;25899;ZIPAQUIRÁ;5º1’52.104”  N; 74º0’1.908” O;Kra 7 # 15 - 39;935,33
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;25175;CHÍA;4º51’14.076”  N; 74º3’43.5816” O;Calle 5 # 2 - 68;935,09
2018;4;830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;5079;BARBOSA;643.162;-75.333;PARAJE LA LOPEZ Y EL VENTIADERO;935,04
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;19001;POPAYÁN;2º27’53.388”  N; 76º36’6.84” O;PREDIO LOS CAMPOS KL 2 VIA CHIPAYA RINCON DE LAS MERCEDES CS 100 POPAYAN;934,92
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;52110;BUESACO;1º21’21.0999996”  N; 77º9’42.500016” O;IE.Vereda Veracruz. Finca Seccion Veracruz;934,55
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;73001;IBAGUÉ;4º26’20.1984”  N; 75º13’14.52” O;EDIFICIO MIRADOR DE CADIZ  CARRERA 5 # 31 06;934,41
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;25754;SOACHA;4º34’1.74”  N; 74º14’6.036” O;CARRERA 11 # 8-30 SUR SOACHA;933,64
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;8758;SOLEDAD;10º55’36.12”  N; 74º46’0.84” O;CARRERA 30 CALLE 22 BARRIO HIPODROMO;933,06
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;54680;SANTIAGO;7º52’30”  N; 72º44’24” O;Finca Agua dulce_ubicacion-3;933,03
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;5001;MEDELLÍN;6º15’56.016”  N; 75º33’52.92” O;CARRERA 51C # 67A-59, BARRIO SEVILLA;932,79
2018;4;800153993;COMUNICACION CELULAR S A COMCEL S A;27495;NUQUÍ;5º42’3.6”  N; 77º16’37.2” O;CERRO REPETIDORA TELECOM_1;932,67
